country,iso3,year,gdp_per_capita,life_expectancy,population
Germany,DEU,2016,42948.9,80.99,82348669
Germany,DEU,2017,45553.9,80.99,82657002
Germany,DEU,2018,48916.2,80.89,82905782
Germany,DEU,2019,47656.2,81.29,83092962
Germany,DEU,2020,47394.9,81.04,83160871
Germany,DEU,2021,52349.2,80.79,83196078
Germany,DEU,2022,50506.5,80.61,83177813
Germany,DEU,2023,54776.8,81.04,83287273
India,IND,2000,442.8,62.75,1057922733
India,IND,2001,450.4,63.16,1077898575
India,IND,2002,469.1,63.65,1097600380
India,IND,2003,544.1,64.09,1116803006
India,IND,2004,624.3,64.48,1135991513
India,IND,2005,710.5,64.94,1154676322
India,IND,2006,801.7,65.37,1172878890
India,IND,2007,1021.9,65.8,1190676021
India,IND,2008,992.5,66.25,1207930964
India,IND,2009,1094.9,66.7,1225524753
India,IND,2010,1347.5,67.16,1243481564
India,IND,2011,1445.5,67.62,1261224954
India,IND,2012,1429.3,68.08,1278674502
India,IND,2013,1432.8,68.5,1295829511
India,IND,2014,1553.9,68.93,1312277191
India,IND,2015,1584.0,69.33,1328024498
India,IND,2016,1707.5,69.71,1343944296
India,IND,2017,1950.1,70.07,1359657400
India,IND,2018,1966.3,70.42,1374659064
India,IND,2019,2041.4,70.75,1389030312
India,IND,2020,1907.0,70.16,1402617695
India,IND,2021,2239.6,67.28,1414203896
India,IND,2022,2280.0,71.7,1425423212
India,IND,2023,2434.4,72.0,1438069596
Japan,JPN,2000,39752.9,81.08,126843000
Japan,JPN,2001,34910.2,81.42,127149000
Japan,JPN,2002,33315.9,81.69,127445000
Japan,JPN,2003,35808.7,81.76,127718000
Japan,JPN,2004,38677.6,82.03,127761000
Japan,JPN,2005,38158.7,81.96,127773000
Japan,JPN,2006,36354.4,82.32,127854000
Japan,JPN,2007,36130.0,82.51,128001000
Japan,JPN,2008,40294.2,82.59,128063000
Japan,JPN,2009,41678.2,82.93,128047000
Japan,JPN,2010,45378.1,82.84,128070000
Japan,JPN,2011,49122.1,82.59,127833000
Japan,JPN,2012,49626.7,83.1,127629000
Japan,JPN,2013,41369.2,83.33,127445000
Japan,JPN,2014,39172.8,83.59,127276000
Japan,JPN,2015,35664.6,83.79,127141000
Japan,JPN,2016,40215.0,83.98,127076000
Japan,JPN,2017,39679.9,84.1,126972000
Japan,JPN,2018,40645.5,84.21,126811000
Japan,JPN,2019,41424.9,84.36,126633000
Japan,JPN,2020,41099.0,84.56,126261000
Japan,JPN,2021,41580.7,84.45,125681593
Japan,JPN,2022,35548.3,84.0,125124989
Japan,JPN,2023,35215.0,84.04,124516650
Mexico,MEX,2000,7524.0,72.56,98625552
Mexico,MEX,2001,7952.8,72.91,100099099
Mexico,MEX,2002,7983.0,73.11,101548624
Mexico,MEX,2003,7434.1,73.31,102978515
Mexico,MEX,2004,7849.7,73.43,104394131
Mexico,MEX,2005,8671.8,73.63,105811504
Mexico,MEX,2006,9512.6,73.75,107253666
Mexico,MEX,2007,10134.3,73.8,108774360
Mexico,MEX,2008,10523.8,73.69,110374288
Mexico,MEX,2009,8423.6,73.63,111999721
Mexico,MEX,2010,9728.8,73.72,113623895
Mexico,MEX,2011,10664.5,73.92,115243504
Mexico,MEX,2012,10744.1,74.13,116818208
Mexico,MEX,2013,11216.8,74.29,118343573
Mexico,MEX,2014,11391.4,74.4,119784261
Mexico,MEX,2015,10021.2,74.43,121072306
Mexico,MEX,2016,9097.9,74.38,122251351
Mexico,MEX,2017,9649.3,74.26,123400057
Mexico,MEX,2018,10084.8,74.3,124573711
Mexico,MEX,2019,10369.6,74.53,125762982
Mexico,MEX,2020,8841.3,70.45,126799054
Mexico,MEX,2021,10314.1,69.75,127648148
Mexico,MEX,2022,11405.8,73.97,128613117
Mexico,MEX,2023,13830.8,75.07,129739759
Nigeria,NGA,2000,547.3,47.14,126382494
Nigeria,NGA,2001,566.4,47.55,129862595
Nigeria,NGA,2002,712.2,48.02,133471989
Nigeria,NGA,2003,763.4,48.62,137202644
Nigeria,NGA,2004,962.5,49.15,141057045
Nigeria,NGA,2005,1211.4,49.54,145017253
Nigeria,NGA,2006,1599.5,49.88,149077334
Nigeria,NGA,2007,1815.5,50.38,153267261
Nigeria,NGA,2008,2154.1,50.75,157595014
Nigeria,NGA,2009,1820.5,51.08,162049464
Nigeria,NGA,2010,2202.3,51.31,166642886
Nigeria,NGA,2011,2418.4,51.49,171379598
Nigeria,NGA,2012,2633.2,51.69,176200625
Nigeria,NGA,2013,2872.8,51.83,181049443
Nigeria,NGA,2014,3088.7,51.94,185896915
Nigeria,NGA,2015,2585.7,51.94,190671878
Nigeria,NGA,2016,2070.4,52.19,195443700
Nigeria,NGA,2017,1876.3,52.4,200254579
Nigeria,NGA,2018,2057.9,52.67,204938755
Nigeria,NGA,2019,3189.8,53.01,209485641
Nigeria,NGA,2020,2797.2,53.07,213996181
Nigeria,NGA,2021,2787.5,53.45,218529286
Nigeria,NGA,2022,2899.2,54.08,223150896
Nigeria,NGA,2023,2138.8,54.46,227882945
Uruguay,URY,2000,6987.7,74.69,3266206
Uruguay,URY,2001,6382.8,74.99,3274251
Uruguay,URY,2002,4149.8,74.98,3278867
Uruguay,URY,2003,3671.1,75.09,3281186
Uruguay,URY,2004,4168.7,75.32,3283148
Uruguay,URY,2005,5284.3,75.83,3285771
Uruguay,URY,2006,6001.3,75.89,3289506
Uruguay,URY,2007,7222.1,76.15,3295153
Uruguay,URY,2008,9424.0,76.28,3302177
Uruguay,URY,2009,9881.4,76.67,3310091
Uruguay,URY,2010,12641.1,76.69,3318580
Uruguay,URY,2011,15132.3,76.61,3326825
Uruguay,URY,2012,16259.6,76.69,3335401
Uruguay,URY,2013,18335.3,76.95,3345337
Uruguay,URY,2014,18322.4,77.19,3356334
Uruguay,URY,2015,17125.9,77.28,3368017
Uruguay,URY,2016,17009.8,77.35,3379283
Uruguay,URY,2017,19184.7,77.62,3388438
Uruguay,URY,2018,19249.9,77.53,3394534
Uruguay,URY,2019,18315.7,77.5,3397206
Uruguay,URY,2020,15757.5,78.38,3398968
Uruguay,URY,2021,17881.8,75.43,3396695
Uruguay,URY,2022,21009.3,76.47,3390913
Uruguay,URY,2023,23378.6,78.14,3388081
United States,USA,2000,36330.0,76.64,282162411
United States,USA,2001,37133.6,76.84,284968955
United States,USA,2002,37997.7,76.94,287625193
United States,USA,2003,39490.3,77.04,290107933
United States,USA,2004,41724.6,77.49,292805298
United States,USA,2005,44123.4,77.49,295516599
United States,USA,2006,46302.0,77.69,298379912
United States,USA,2007,48050.2,77.99,301231207
United States,USA,2008,48570.1,78.04,304093966
United States,USA,2009,47195.0,78.39,306771529
United States,USA,2010,48642.6,78.54,309378227
United States,USA,2011,50024.9,78.64,311839461
United States,USA,2012,51708.4,78.74,314339099
United States,USA,2013,53297.4,78.74,316726282
United States,USA,2014,55153.4,78.84,319257560
United States,USA,2015,56849.5,78.69,321815121
United States,USA,2016,57976.6,78.54,324353340
United States,USA,2017,60047.7,78.54,326608609
United States,USA,2018,62875.7,78.64,328529577
United States,USA,2019,65228.0,78.79,330226227
United States,USA,2020,64465.3,76.98,331578104
United States,USA,2021,71441.2,76.33,332100166
United States,USA,2022,78008.7,77.43,333996304
United States,USA,2023,82586.8,78.39,336755052
South Africa,ZAF,2000,3217.8,58.37,47159719
South Africa,ZAF,2001,2847.2,57.16,47566800
South Africa,ZAF,2002,2688.2,55.58,48019415
South Africa,ZAF,2003,4062.2,54.24,48500348
South Africa,ZAF,2004,5221.5,53.96,48991421
South Africa,ZAF,2005,5836.9,53.91,49490033
South Africa,ZAF,2006,6077.4,54.22,49998277
South Africa,ZAF,2007,6591.9,54.95,50528584
South Africa,ZAF,2008,6184.8,55.98,51114599
South Africa,ZAF,2009,6374.7,57.41,51728516
South Africa,ZAF,2010,7973.5,58.89,52344051
South Africa,ZAF,2011,8646.1,60.6,52995205
South Africa,ZAF,2012,8077.0,61.74,53782567
South Africa,ZAF,2013,7331.7,62.39,54678791
South Africa,ZAF,2014,6856.7,63.18,55594838
South Africa,ZAF,2015,6112.3,64.05,56723537
South Africa,ZAF,2016,5651.2,64.75,57259551
South Africa,ZAF,2017,6618.3,65.42,57635162
South Africa,ZAF,2018,6914.2,65.73,58613001
South Africa,ZAF,2019,6533.7,66.07,59587885
South Africa,ZAF,2020,5580.6,65.15,60562381
South Africa,ZAF,2021,6828.8,62.01,61502603
South Africa,ZAF,2022,6534.2,65.45,62378410
South Africa,ZAF,2023,6034.3,66.14,63212384
