country,year,coffee_kg_per_capita,gdp_per_capita_usd,happiness_score
Sweden,2023,8.86,74245,7.26
Sweden,2024,8.21,74647,7.48
Switzerland,2010,8.09,91702,7.27
Switzerland,2011,7.84,93738,7.26
Switzerland,2012,7.85,93690,7.14
Switzerland,2013,7.9,97742,7.0
Switzerland,2014,8.61,97675,7.17
Switzerland,2015,8.61,99411,7.34
Switzerland,2016,8.05,101719,7.17
Switzerland,2017,7.91,101745,7.11
Switzerland,2018,8.32,100779,7.25
Switzerland,2019,8.3,104265,7.17
Switzerland,2020,8.14,107045,7.21
Switzerland,2021,8.11,107944,7.14
Switzerland,2022,8.31,107641,7.29
Switzerland,2023,8.26,109481,7.23
Switzerland,2024,8.29,108926,6.89
United Kingdom,2010,3.34,46017,6.76
United Kingdom,2011,3.33,46051,6.68
United Kingdom,2012,3.5,47041,6.73
United Kingdom,2013,3.24,47693,6.76
United Kingdom,2014,3.13,47836,6.88
United Kingdom,2015,3.58,49842,6.75
United Kingdom,2016,3.3,50590,6.64
United Kingdom,2017,3.58,49939,6.72
United Kingdom,2018,3.73,51370,6.78
United Kingdom,2019,3.95,52881,6.68
United Kingdom,2020,4.02,52104,6.9
United Kingdom,2021,4.0,53416,6.98
United Kingdom,2022,3.74,54474,6.84
United Kingdom,2023,4.03,55463,6.88
United Kingdom,2024,4.18,55955,6.75
United States,2010,4.84,70165,6.81
United States,2011,4.77,68463,7.09
United States,2012,4.8,71504,6.96
United States,2013,4.75,73214,7.11
United States,2014,4.2,75059,7.11
United States,2015,4.95,76032,6.75
United States,2016,4.56,75125,6.67
United States,2017,4.55,78572,7.06
United States,2018,4.94,78516,6.9
United States,2019,4.8,80229,6.76
United States,2020,4.89,80681,6.99
United States,2021,4.71,83602,6.85
United States,2022,5.38,81925,7.0
United States,2023,5.24,85613,7.19
United States,2024,4.66,87706,6.85
